  -0.18420681E+02   0.10000000E+01  -0.10000000E+01   0.50000000E+00  -0.18293746E-07
  -0.18409646E+02   0.99999991E+00  -0.99999987E+00   0.50000009E+00  -0.18496726E-07
  -0.18398612E+02   0.99999983E+00  -0.99999979E+00   0.50000017E+00  -0.18701959E-07
  -0.18387577E+02   0.99999974E+00  -0.99999970E+00   0.50000026E+00  -0.18909469E-07
  -0.18376543E+02   0.99999966E+00  -0.99999962E+00   0.50000034E+00  -0.19119281E-07
  -0.18365508E+02   0.99999958E+00  -0.99999954E+00   0.50000042E+00  -0.19331420E-07
  -0.18354474E+02   0.99999950E+00  -0.99999946E+00   0.50000050E+00  -0.19545914E-07
  -0.18343439E+02   0.99999942E+00  -0.99999938E+00   0.50000058E+00  -0.19762787E-07
  -0.18332405E+02   0.99999934E+00  -0.99999930E+00   0.50000066E+00  -0.19982067E-07
  -0.18321370E+02   0.99999927E+00  -0.99999923E+00   0.50000073E+00  -0.20203780E-07
  -0.18310336E+02   0.99999919E+00  -0.99999915E+00   0.50000081E+00  -0.20427952E-07
  -0.18299301E+02   0.99999912E+00  -0.99999908E+00   0.50000088E+00  -0.20654612E-07
  -0.18288266E+02   0.99999905E+00  -0.99999901E+00   0.50000095E+00  -0.20883787E-07
  -0.18277232E+02   0.99999898E+00  -0.99999894E+00   0.50000102E+00  -0.21115504E-07
  -0.18266197E+02   0.99999891E+00  -0.99999887E+00   0.50000109E+00  -0.21349792E-07
  -0.18255163E+02   0.99999884E+00  -0.99999880E+00   0.50000116E+00  -0.21586680E-07
  -0.18244128E+02   0.99999878E+00  -0.99999873E+00   0.50000122E+00  -0.21826196E-07
  -0.18233094E+02   0.99999871E+00  -0.99999867E+00   0.50000129E+00  -0.22068369E-07
  -0.18222059E+02   0.99999865E+00  -0.99999860E+00   0.50000135E+00  -0.22313230E-07
  -0.18211025E+02   0.99999858E+00  -0.99999854E+00   0.50000142E+00  -0.22560807E-07
  -0.18199990E+02   0.99999852E+00  -0.99999847E+00   0.50000148E+00  -0.22811131E-07
  -0.18188956E+02   0.99999846E+00  -0.99999841E+00   0.50000154E+00  -0.23064232E-07
  -0.18177921E+02   0.99999840E+00  -0.99999835E+00   0.50000160E+00  -0.23320142E-07
  -0.18166887E+02   0.99999834E+00  -0.99999829E+00   0.50000166E+00  -0.23578891E-07
  -0.18155852E+02   0.99999828E+00  -0.99999823E+00   0.50000172E+00  -0.23840511E-07
  -0.18144818E+02   0.99999822E+00  -0.99999817E+00   0.50000178E+00  -0.24105033E-07
  -0.18133783E+02   0.99999816E+00  -0.99999811E+00   0.50000184E+00  -0.24372491E-07
  -0.18122749E+02   0.99999810E+00  -0.99999805E+00   0.50000190E+00  -0.24642916E-07
  -0.18111714E+02   0.99999804E+00  -0.99999799E+00   0.50000196E+00  -0.24916341E-07
  -0.18100680E+02   0.99999799E+00  -0.99999794E+00   0.50000201E+00  -0.25192800E-07
  -0.18089645E+02   0.99999793E+00  -0.99999788E+00   0.50000207E+00  -0.25472327E-07
  -0.18078611E+02   0.99999788E+00  -0.99999782E+00   0.50000212E+00  -0.25754955E-07
  -0.18067576E+02   0.99999782E+00  -0.99999777E+00   0.50000218E+00  -0.26040718E-07
  -0.18056542E+02   0.99999777E+00  -0.99999771E+00   0.50000223E+00  -0.26329652E-07
  -0.18045507E+02   0.99999771E+00  -0.99999766E+00   0.50000229E+00  -0.26621792E-07
  -0.18034472E+02   0.99999766E+00  -0.99999760E+00   0.50000234E+00  -0.26917174E-07
  -0.18023438E+02   0.99999760E+00  -0.99999755E+00   0.50000240E+00  -0.27215832E-07
  -0.18012403E+02   0.99999755E+00  -0.99999750E+00   0.50000245E+00  -0.27517805E-07
  -0.18001369E+02   0.99999750E+00  -0.99999744E+00   0.50000250E+00  -0.27823127E-07
  -0.17990334E+02   0.99999744E+00  -0.99999739E+00   0.50000256E+00  -0.28131838E-07
  -0.17979300E+02   0.99999739E+00  -0.99999733E+00   0.50000261E+00  -0.28443973E-07
  -0.17968265E+02   0.99999734E+00  -0.99999728E+00   0.50000266E+00  -0.28759572E-07
  -0.17957231E+02   0.99999729E+00  -0.99999723E+00   0.50000271E+00  -0.29078672E-07
  -0.17946196E+02   0.99999723E+00  -0.99999718E+00   0.50000277E+00  -0.29401313E-07
  -0.17935162E+02   0.99999718E+00  -0.99999712E+00   0.50000282E+00  -0.29727533E-07
  -0.17924127E+02   0.99999713E+00  -0.99999707E+00   0.50000287E+00  -0.30057373E-07
  -0.17913093E+02   0.99999708E+00  -0.99999702E+00   0.50000292E+00  -0.30390872E-07
  -0.17902058E+02   0.99999703E+00  -0.99999697E+00   0.50000297E+00  -0.30728072E-07
  -0.17891024E+02   0.99999698E+00  -0.99999691E+00   0.50000302E+00  -0.31069013E-07
  -0.17879989E+02   0.99999692E+00  -0.99999686E+00   0.50000308E+00  -0.31413737E-07
  -0.17868955E+02   0.99999687E+00  -0.99999681E+00   0.50000313E+00  -0.31762285E-07
  -0.17857920E+02   0.99999682E+00  -0.99999676E+00   0.50000318E+00  -0.32114701E-07
  -0.17846886E+02   0.99999677E+00  -0.99999670E+00   0.50000323E+00  -0.32471027E-07
  -0.17835851E+02   0.99999672E+00  -0.99999665E+00   0.50000328E+00  -0.32831306E-07
  -0.17824817E+02   0.99999667E+00  -0.99999660E+00   0.50000333E+00  -0.33195583E-07
  -0.17813782E+02   0.99999661E+00  -0.99999655E+00   0.50000339E+00  -0.33563901E-07
  -0.17802748E+02   0.99999656E+00  -0.99999649E+00   0.50000344E+00  -0.33936306E-07
  -0.17791713E+02   0.99999651E+00  -0.99999644E+00   0.50000349E+00  -0.34312842E-07
  -0.17780679E+02   0.99999646E+00  -0.99999639E+00   0.50000354E+00  -0.34693557E-07
  -0.17769644E+02   0.99999641E+00  -0.99999634E+00   0.50000359E+00  -0.35078495E-07
  -0.17758609E+02   0.99999635E+00  -0.99999628E+00   0.50000365E+00  -0.35467705E-07
  -0.17747575E+02   0.99999630E+00  -0.99999623E+00   0.50000370E+00  -0.35861232E-07
  -0.17736540E+02   0.99999625E+00  -0.99999618E+00   0.50000375E+00  -0.36259126E-07
  -0.17725506E+02   0.99999620E+00  -0.99999612E+00   0.50000380E+00  -0.36661434E-07
  -0.17714471E+02   0.99999614E+00  -0.99999607E+00   0.50000386E+00  -0.37068207E-07
  -0.17703437E+02   0.99999609E+00  -0.99999601E+00   0.50000391E+00  -0.37479492E-07
  -0.17692402E+02   0.99999604E+00  -0.99999596E+00   0.50000396E+00  -0.37895340E-07
  -0.17681368E+02   0.99999598E+00  -0.99999590E+00   0.50000402E+00  -0.38315803E-07
  -0.17670333E+02   0.99999593E+00  -0.99999585E+00   0.50000407E+00  -0.38740930E-07
  -0.17659299E+02   0.99999587E+00  -0.99999579E+00   0.50000413E+00  -0.39170774E-07
  -0.17648264E+02   0.99999582E+00  -0.99999574E+00   0.50000418E+00  -0.39605388E-07
  -0.17637230E+02   0.99999576E+00  -0.99999568E+00   0.50000424E+00  -0.40044823E-07
  -0.17626195E+02   0.99999571E+00  -0.99999563E+00   0.50000429E+00  -0.40489134E-07
